imputer,normalizer,tamer__detector,tamer__remediation,selector,balancer,classifier__max_features,classifier__penalty,_family,tamer__contamination,tamer__mad_threshold,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__colsample_bytree,classifier__min_child_weight,classifier__min_child_samples,classifier__reg_alpha,classifier__reg_lambda,classifier__scale_pos_weight,classifier__num_leaves,classifier__min_samples_leaf,classifier__iterations,classifier__depth,classifier__l2_leaf_reg,classifier__C,classifier__estimator__xgb__learning_rate,classifier__estimator__xgb__max_depth,classifier__estimator__xgb__scale_pos_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,range_pr_auc,cv_pr_auc,uncertainty_aware_score,brier_mean,recall_at_spec90_mean
ClassMeanImputer,RobustScalerNorm,statistical,mad_replace,SelectKBestFilter(k=40),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.005202112382067821,2.9503805318216156,0.041430321863452496,7.0,298.0,0.5280502074026576,0.6824508549687437,36.0,,0.0012515863323350185,0.6325947785637415,1.8060618713193142,,,,,,,,,,0.20850425911577647,0.015012864612890234,0.6851596163409579,0.0068633129878233985,0.0433368424416152,0.0720026759959566,0.20099782680933134,,
MeanImputer,RobustScalerNorm,iforest,percentile_clip,SelectKBestFilter(k=30),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.008319535405876226,3.9963618667744756,0.07903593396154636,12.0,739.0,0.7783074403555106,0.5798952369227193,6.0,,0.15600071357060674,0.815834936453353,3.7057417987579657,,,,,,,,,,0.21602167135093167,0.014091943183998845,0.6683058211741807,0.0202306501707493,0.037482025488833226,0.06523393276180237,0.20897569975893224,,
MeanImputer,RobustScalerNorm,cluster,cluster_local_median,SelectKBestFilter(k=20),FunctionSampler,absent,absent,xgb,0.07253776277327766,2.3298240640048626,0.14500896531023086,7.0,140.0,0.7256585793959379,0.6402872356438727,18.0,,1.363497401658912,0.5363936952683594,5.203723349926301,,,,,,,,,,0.20014301779746688,0.02095260145718817,0.6570063847608146,0.019895756996667544,0.06459215262544676,0.10468814594567065,0.18966671706887278,,
IterativeModelImputer,RobustScalerNorm,iforest,winsorize,TreeBasedSelection,SMOTESampler(k_neighbors=5),absent,absent,xgb,0.006387121004285506,3.620212318105599,0.014170235547157708,12.0,537.0,0.8396937927407967,0.7812551035347316,4.0,,0.6459733969773924,7.913310303752856,2.886953337663137,,,,,,,,,,0.24091943043557204,0.00965152016252988,0.6998572907221755,0.01445133727550074,0.02401661473257194,0.0400611945042388,0.2360936703543071,,
IterativeModelImputer,RobustScalerNorm,iforest,winsorize,TreeBasedSelection,BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.0056241600872989315,2.363362895280671,0.010112856926011533,8.0,180.0,0.793508363711849,0.5488787315965571,14.0,,0.015896020660706278,0.1730138731577197,1.2851485894965924,,,,,,,,,,0.2473430235301211,0.009621059181341178,0.7054554082238528,0.020081625611929683,0.027719164579634553,0.038897637151951193,0.24253249393945053,,
KNNImputerWrapper(n_neighbors=5),ZScoreNormalizationNorm,cluster,percentile_clip,SelectKBestFilter(k=30),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.05262476522508342,2.4527703543801707,0.020510697406552675,2.0,664.0,0.7558593627119059,0.6254261839440388,10.0,,1.7289228588836714,6.152542558549053,4.375987641774377,,,,,,,,,,0.24497642688588012,0.014632355436198301,0.7030102932129529,0.01757090188307861,0.039236706986625736,0.059729646734600475,0.23766024916778097,,
InterpolateImputer,ZScoreNormalizationNorm,statistical,cluster_local_median,SelectKBestFilter(k=20),FunctionSampler,absent,absent,xgb,0.09195178345801837,3.8903948128605848,0.09195126944222252,5.0,420.0,0.8075408687647505,0.8606190364310715,2.0,,0.9185975470413965,1.828463950525171,3.553737370149916,,,,,,,,,,0.2142446442952795,0.023012576903229078,0.6716614364626674,0.01944358644059888,0.06722496074941092,0.10741261224487056,0.20273835584366498,,
InterpolateImputer,ZScoreNormalizationNorm,iforest,winsorize,TreeBasedSelection,BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.006658741955351334,3.1248872215386934,0.01558592325801772,10.0,572.0,0.8127834570584898,0.6206447352040573,1.0,,0.003691662274854958,4.469526941609628,4.042717948660479,,,,,,,,,,0.24669143112502256,0.018027042987515386,0.7038053163737538,0.014554998073264646,0.04443995975858461,0.07307527020822757,0.23767790963126487,,
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,statistical,none,SelectKBestFilter(k=20),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.007580952478943795,3.4527130566403206,0.021015756156710527,12.0,169.0,0.9969650665185662,0.5057130001649645,5.0,,0.21556102087833257,0.8619109891387106,2.1185315336339317,,,,,,,,,,0.23414765204716073,0.019476485806920067,0.6984305904771704,0.01681692059828016,0.05857695443319319,0.08318035921623174,0.2244094091437007,,
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,cluster,none,SelectKBestFilter(k=10),FunctionSampler,absent,absent,xgb,0.023392856560761694,2.2173543478625155,0.22658405264214537,4.0,611.0,0.8780243843000732,0.723983986013874,2.0,,0.0010455673238064795,0.15833973379995267,2.3755346379626734,,,,,,,,,,0.1793022047727732,0.009869650514130223,0.6255402798051962,0.017501852942330004,0.027082191531481586,0.05504478055157142,0.17436737951570808,,
