iter	RMSE
0	187.7114302
1	180.9374047
2	174.7125247
3	169.0253639
4	164.1582424
5	159.7053636
6	155.8795575
7	152.5636599
8	149.8322118
9	147.226786
10	144.8448481
11	142.7749003
12	140.9466202
13	139.4796626
14	138.1952179
15	136.8039517
16	135.6545806
17	134.6293155
18	133.7179147
19	132.9298667
20	132.1949698
21	131.6210866
22	131.1322933
23	130.4600071
24	130.0989294
25	129.728014
26	129.4394997
27	129.1401044
28	128.8059625
29	128.079145
30	127.797393
31	127.5470748
32	126.9518135
33	126.6365303
34	126.1543291
35	125.9169416
36	125.6498318
37	125.5810718
38	125.1640965
39	124.729317
40	124.4421077
41	124.3341704
42	123.5535806
43	123.0059943
44	122.8069148
45	122.3547377
46	121.1440685
47	121.0976321
48	121.0200353
49	120.7472637
50	120.7191806
51	120.6253835
52	120.1388191
53	120.073355
54	120.0596808
55	118.9685242
56	118.8256022
57	117.8205156
58	116.9519111
59	116.3766237
60	115.8648001
61	115.7326698
62	115.1702676
63	114.883802
64	114.8708747
65	114.8603069
66	114.5898941
67	114.4171173
68	114.2609709
69	114.1491288
70	113.3276834
71	113.2529172
72	112.9825169
73	112.5201902
74	112.4261575
75	111.7023057
76	111.6191182
77	111.1653044
78	111.0268347
79	110.3936472
80	110.3448312
81	109.9459216
82	109.4899734
83	109.4751523
84	109.2502982
85	109.2362814
86	108.9740901
87	108.897378
88	108.8174108
89	108.7443363
90	108.3265974
91	107.7268126
92	107.6101733
93	107.5459242
94	107.460917
95	107.2825205
96	107.206494
97	107.091882
98	107.0715937
99	107.0664899
100	106.907089
101	106.8937339
102	106.8743456
103	106.837274
104	106.7646445
105	106.670771
106	106.6171169
107	106.0273662
108	105.9413813
109	105.9066322
110	105.8692641
111	105.3159289
112	104.94845
113	104.6009766
114	104.5485832
115	104.2336434
116	104.0504091
117	103.7539785
118	103.42602
119	103.1240742
120	102.6918645
121	102.5145259
122	102.3041918
123	102.0396345
124	101.6429246
125	101.3970512
126	100.845501
127	100.7178602
128	100.2178551
129	100.1693502
130	99.74242371
131	99.3875617
132	99.34472423
133	99.16632887
134	99.07192564
135	98.94678082
136	98.63160194
137	98.42102509
138	98.1956171
139	97.90753178
140	97.5805448
141	97.52888322
142	97.23036935
143	97.04937984
144	96.85351109
145	96.70727243
146	96.68091063
147	96.65935318
148	96.61922502
149	96.4448048
150	96.41315485
151	96.37115773
152	96.20569533
153	96.06212548
154	95.78261641
155	95.61822333
156	95.46525969
157	95.07892168
158	94.94231305
159	94.68941106
160	94.57729521
161	94.44962194
162	94.25569824
163	94.02155771
164	93.94179484
165	93.75881395
166	93.68915698
167	93.54671545
168	93.41292899
169	93.24614157
170	93.15271204
171	93.01830615
172	92.96676339
173	92.7179307
174	92.59540632
175	92.54080286
176	92.46286741
177	92.40328835
178	92.34034639
179	92.24015362
180	92.02906027
181	91.89000285
182	91.75515285
183	91.67462223
184	91.6256846
185	91.57279013
186	91.5335995
187	91.34783679
188	91.24828806
189	91.08148102
190	90.86642782
191	90.82600337
192	90.55436782
193	90.40417749
194	90.31259244
195	90.2203251
196	90.14661654
197	90.05124102
198	89.98242269
199	89.90737991
200	89.40216637
201	89.36911904
202	89.24356709
203	89.20432018
204	89.17710119
205	89.14305606
206	89.10340636
207	88.64696043
208	88.61035464
209	88.54531164
210	88.48061642
211	88.34176346
212	88.25514992
213	88.14981067
214	88.00867986
215	87.60106705
216	87.41615239
217	87.22037397
218	87.01789083
219	86.95630259
220	86.79497481
221	86.6881863
222	86.62972614
223	86.48735992
224	86.36774145
225	86.28170133
226	85.89323165
227	85.76697195
228	85.63825005
229	85.46051283
230	85.34889606
231	85.24819022
232	85.15738775
233	85.09370437
234	84.97357415
235	84.90665306
236	84.79103728
237	84.75962732
238	84.64166119
239	84.47818653
240	84.37756567
241	84.33070225
242	84.23995406
243	84.11934649
244	84.09444306
245	84.05346024
246	83.84952046
247	83.74864299
248	83.64640632
249	83.5492629
250	83.52149457
251	83.42915894
252	83.24549635
253	83.15749665
254	83.07363398
255	82.880172
256	82.80046202
257	82.72231258
258	82.65013464
259	82.53846642
260	82.47364383
261	82.4507943
262	82.42716198
263	82.39506505
264	82.31344546
265	82.2587559
266	82.20353942
267	82.14234274
268	81.97339853
269	81.94466174
270	81.87235996
271	81.702595
272	81.6150768
273	81.53796938
274	81.50694524
275	81.49014849
276	81.47184722
277	81.41912064
278	81.40766618
279	81.38192445
280	81.38162931
281	81.35462475
282	81.20158723
283	81.13463914
284	81.07053293
285	81.01149701
286	80.97259249
