iter	Passed	Remaining
418	2396	3322
419	2401	3316
420	2407	3311
421	2414	3307
422	2420	3301
423	2427	3297
424	2435	3294
425	2442	3291
426	2449	3286
427	2455	3281
428	2461	3275
429	2465	3268
430	2470	3261
431	2475	3254
432	2479	3247
433	2483	3238
434	2487	3231
435	2492	3223
436	2495	3215
437	2499	3206
438	2503	3198
439	2507	3191
440	2511	3183
441	2514	3174
442	2518	3166
443	2523	3159
444	2527	3151
445	2530	3143
446	2534	3135
447	2538	3127
448	2542	3120
449	2546	3112
450	2550	3104
451	2554	3097
452	2558	3089
453	2562	3081
454	2565	3073
455	2569	3065
456	2574	3058
457	2578	3050
458	2581	3042
459	2586	3035
460	2590	3028
461	2594	3021
462	2600	3015
463	2607	3012
464	2615	3008
465	2624	3007
466	2631	3003
467	2639	3000
468	2646	2996
469	2652	2991
470	2658	2986
471	2663	2979
472	2671	2976
473	2677	2971
474	2684	2967
475	2691	2963
476	2698	2958
477	2705	2954
478	2711	2948
479	2717	2943
480	2724	2940
481	2733	2937
482	2741	2934
483	2749	2931
484	2756	2927
485	2764	2923
486	2772	2920
487	2780	2917
488	2789	2914
489	2796	2910
490	2804	2907
491	2812	2903
492	2820	2900
493	2826	2895
494	2833	2891
495	2841	2887
496	2848	2882
497	2855	2878
498	2861	2872
499	2868	2868
500	2875	2863
501	2882	2859
502	2888	2853
503	2893	2847
504	2900	2843
505	2906	2837
506	2914	2833
507	2920	2828
508	2926	2823
509	2933	2818
510	2941	2814
511	2947	2809
512	2954	2805
513	2962	2801
514	2969	2796
515	2975	2791
516	2981	2785
517	2986	2779
518	2992	2773
519	2998	2767
520	3004	2762
521	3010	2756
522	3016	2751
523	3022	2745
524	3029	2741
525	3035	2735
526	3040	2729
527	3046	2723
528	3050	2716
529	3055	2709
530	3060	2703
531	3064	2695
532	3067	2687
533	3072	2680
534	3076	2674
535	3080	2666
536	3083	2658
537	3087	2651
538	3092	2645
539	3096	2637
540	3100	2630
541	3104	2623
542	3109	2616
543	3113	2609
544	3117	2602
545	3121	2595
546	3127	2590
547	3134	2585
548	3140	2580
549	3147	2575
550	3154	2570
551	3162	2566
552	3170	2562
553	3176	2557
554	3182	2552
